*Aluminum*,Price,Max,Column 1,*Copper*,Price,Max,Column 2,*Insulated Copper*,Price,Max
Aluminum Cans,$0.70,$0.72,,Bare Bright Copper,$4.93,$5.03,,85% MCM,$2.92,$3.07
Aluminum Sheet,$0.54,$0.64,,#1 Copper,$4.78,$4.88,,ICW #1 65%,$2.69,$2.84
Aluminum Painted Siding,$0.54,$0.64,,#2 Copper,$4.65,$4.75,,ICW #2 45%,$1.44,$1.59
Aluminum 6061,$0.54,$0.64,,,,,,ICW #3 30% (Low Grade),$0.66,$0.81
Aluminum 6063,$0.54,$0.64,,*Brass*,Price,Max,,Data/Cat 5 ICW,$1.45,$1.60
Aluminum Cast,$0.55,$0.65,,Yellow Brass - Clean,$2.84,$2.94,,Christmas Lights,$0.40,$0.55
Aluminum Clips,$0.54,$0.64,,Yellow Brass - Dirty,$1.47,$1.57,,,,
Aluminum Wheel - Clean,$0.72,$0.82,,Mixed Brass Shells,$2.52,$2.62,,*Lead*,Price,Max
Aluminum Wheel - Dirty,$0.70,$0.80,,Brass Turnings/Shavings,$2.21,$2.36,,Soft Lead - Clean,$0.39,$0.49
Aluminum Chrome Wheel,$0.58,$0.68,,Red Brass,$3.41,$3.56,,Lead Acid Battery,$0.08,$0.13
Aluminum Truck Wheels,$0.55,$0.65,,Hard Brass,$3.37,$3.52,,Steel Case Battery (Lead Acid),$0.11,$0.13
Ec Wire,$1.41,$1.46,,,,,,Indoor Range Lead,$0.26,$0.36
ACSR-Aluminum Coated Steel Renforced,$0.58,$0.63,,*Radiators/Reefers*,Price,Max,,Lead Wheel Weights,$0.01,$0.02
Insulated Wire Aluminum (Neoprene),$0.58,$0.63,,Brass/Copper Radiators - Clean,$2.94,$3.04,,,,
Aluminum Turnings/Shavings,$0.36,$0.41,,Brass/Copper Radiators - Dirty,$1.88,$2.03,,*Miscellaneous*,Price,Max
Aluminum Die Cast,$0.23,$0.28,,Heater Core,$1.50,$1.65,,Electric Motors,$0.33,$0.36
Aluminum Breakage,$0.05,$0.10,,Aluminum/Copper Reefer - Clean,$2.45,$2.55,,Large Electric Motors,$0.23,$0.26
,,,,Aluminum/Copper Reefer - Dirty,$2.31,$2.41,,Sealed Units,$0.17,$0.20
*Stainless*,Price,Max,,Aluminum Radiators - Clean,$0.51,$0.56,,Alternators,$0.42,$0.47
Stainless - Clean,$0.15,$0.20,,Aluminum Radiators - Dirty,$0.32,$0.37,,Aluminum Nose Starter,$0.31,$0.35
Stainless - Dirty,$0.05,$0.07,,Aluminum/Copper Reefer Ends,$0.76,$0.86,,Steel Nose Starter,$0.26,$0.30
Stainless Turnings/Shavings,$0.13,$0.18,,,,,,,,
,,,,1/19/2026,,,,,,
,,,,*Prices are subject to change without notice*,,,,,,